"Avg_Slope","K_final","MeanSlope30m","PercentForestedLand","MEAN","PM_rank","Culvert_Count","Surface","StreamCros","HYDROGROUP","PARENT","Mean_TopoConvergence_50m","damaged"
11.47650736,0.55,10.90309498,0.95,5.720984343,5,0,"Unknown","No","C","GT",5.931135445225,"No"
8.69817133,0.55,9.153031549,0.722222222,5.707819366,5,0,"Unknown","No","C","GT",6.9575194682198,"No"
3.4695295,0.55,4.565246996,1,6.369982702,7,0,"Unknown","No","A","A",7.43466786182288,"No"
4.83065936,0.1,4.014187759,1,6.211081422,6,0,"Unknown","No","A","GF",6.52968979340333,"No"
13.51678399,0.1,10.69267014,1,6.256120156,6,0,"Unknown","No","A","GF",5.45524430274963,"No"
2.84769289,0.55,13.24048561,0.761904762,6.073296195,5,0,"Unknown","No","D","GT",5.80464710339461,"No"
2.99906597,0.55,11.3041964,0.7,6.092525992,5,0,"Unknown","No","D","GT",6.18794679641724,"No"
6.55388432,0.37,1.664459808,0,6.07704254,3,1,"Unknown","No","C/D","DT",7.04504033497402,"No"
11.36329631,0.32,7.436499244,1,5.809161735,5,0,"Unpaved","No","B","GT",5.91057459980834,"No"
14.76745169,0.32,7.097175117,0.9,5.794012722,5,0,"Unpaved","Yes","B","GT",7.03522608015273,"No"
12.710599,0.32,7.762695173,1,5.801361219,5,0,"Unpaved","No","B","GT",6.38035311460495,"No"
13.51252395,0.32,10.66500141,0.9,5.829407215,5,0,"Unpaved","No","B","GT",5.47486828071902,"No"
10.98804252,0.32,12.09060782,0.894736842,5.859047781,5,0,"Unpaved","No","B","GT",5.28817768891652,"No"
5.64475614,0.32,5.401716268,0.888888889,5.933839623,5,0,"Unpaved","No","B","GT",6.41100699560983,"No"
8.94868893,0.37,8.419817048,0.842105263,5.386473745,3,0,"Unpaved","No","C/D","DT",6.48914861679077,"No"
11.03582227,0.49,7.298095613,0.9,5.393852615,3,0,"Unpaved","No","C","DT",6.47255563254308,"No"
12.38670319,0.49,8.126289558,1,5.416794389,3,0,"Unpaved","No","C","DT",6.63989594274638,"No"
11.49841953,0.49,10.59226128,1,5.442986169,3,0,"Unpaved","No","C","DT",5.94876393469253,"No"
2.97448497,0.28,1.925078915,0.428571429,5.520154388,4,0,"Unpaved","No","C/D","GL",6.95213590282025,"No"
2.06688545,0.28,4.358974848,0,5.549395734,4,0,"Unpaved","No","C/D","GL",6.00812434001141,"No"
4.29063341,0.49,3.592329914,0,3.422969436,4,1,"Unpaved","No","D","GL",6.24845921639169,"No"
4.11472102,0.49,2.488917241,0,3.408916733,4,0,"Unpaved","No","D","GL",7.22369811486225,"No"
3.26926053,0.49,1.913003864,0,3.396322703,4,0,"Unpaved","No","D","GL",6.6877912011477,"No"
2.42281042,0.49,1.582831273,0,3.383635589,4,1,"Unpaved","No","D","GL",8.23191909597378,"No"
3.30337275,0.49,2.587922401,0,3.371067277,4,0,"Unpaved","No","D","GL",6.47346509933472,"No"
2.49929152,0.49,2.990110315,0,3.358792091,4,1,"Unpaved","No","D","GL",7.16816546440125,"No"
5.38173734,0.37,5.267777556,0,3.343937644,5,0,"Unpaved","No","D","GT",5.94395632791047,"No"
